Date,Open,High,Low,Close,Adj Close,Volume
8/7/2017,815.799988,815.799988,806.275024,808.174988,795.897461,4360036
8/8/2017,809,810.525024,793.400024,801.275024,789.102295,5011136
8/9/2017,800.75,810,792.5,799.400024,787.255798,4771286
8/10/2017,796.525024,803.325012,788.974976,792.174988,780.140503,4657686
8/11/2017,775.474976,790,766.5,773.125,761.379883,7770128
8/14/2017,780.5,792.25,780.5,786.525024,774.576416,6144598
8/16/2017,786,788,775.099976,783.049988,771.154114,6206788
8/17/2017,784.5,798.825012,780.575012,783.549988,771.646545,7236358
8/18/2017,782,788.900024,776.575012,787.700012,775.733521,3628022
8/21/2017,788.5,792.075012,780.125,782.200012,770.317078,3462376
8/22/2017,786,789.950012,778.025024,780.025024,768.175049,4358460
8/23/2017,782.424988,793.275024,776.575012,791.025024,779.007996,3803648
8/24/2017,795,796.549988,782.25,784.025024,772.114319,5785142
8/28/2017,789.525024,790.974976,780.599976,783.275024,771.375732,5630656
8/29/2017,780.924988,783.75,765,766.075012,754.437012,6932842
8/30/2017,773.775024,784.400024,770.625,782.049988,770.169312,4724774
8/31/2017,787.5,798.724976,787,797.25,785.138428,11476990
9/1/2017,799.924988,808.299988,799.5,805.049988,792.819885,7054954
9/4/2017,807.75,818.075012,797.924988,806.674988,794.420227,9856750
9/5/2017,815,817.424988,810.525024,816.299988,803.898987,11528262
9/6/2017,813.200012,826.25,811.400024,822.700012,810.201721,22285024
9/7/2017,823,832.5,815,818.099976,805.671631,7408536
9/8/2017,820,823.25,812.099976,816.900024,804.489929,6056729
9/11/2017,821.299988,826.849976,816.549988,817.900024,805.474731,5801712
9/12/2017,822.75,825,817,823.75,811.23584,2971669
9/13/2017,824,859.900024,822,849,836.102234,13430225
9/14/2017,855.799988,861.5,842,843.849976,831.030457,5425486
9/15/2017,842,852.849976,834.75,841.799988,829.011597,13072853
9/18/2017,850,851.049988,843.099976,845.549988,832.70459,2314174
9/19/2017,848.700012,848.75,837,838.599976,825.860168,3528729
9/20/2017,856.099976,872.5,845.099976,847.150024,834.280334,11402965
9/21/2017,847,851.700012,836.25,841.349976,828.568359,5920552
9/22/2017,839.900024,839.900024,813.200012,817.400024,804.9823,5620443
9/25/2017,815,827.950012,805.200012,821.549988,809.069275,6505309
9/26/2017,821.700012,827.049988,812.200012,820.099976,807.641235,4829571
9/27/2017,825.599976,825.700012,795.5,799.150024,787.009521,8434196
9/28/2017,799.650024,802.900024,780.200012,786.450012,774.502441,13508179
9/29/2017,791.75,793.400024,779.099976,780.900024,769.036804,7619230
10/3/2017,795,803.849976,785.349976,798.349976,786.22168,8387059
10/4/2017,799.200012,824.950012,795.599976,818.849976,806.410217,8643924
10/5/2017,825,828.450012,818.650024,824.150024,811.629761,4860479
10/6/2017,824,839.349976,822.599976,837.049988,824.33374,5942106
10/9/2017,839,839.799988,828,830.650024,818.031006,4046109
10/10/2017,831,847.299988,831,843.200012,830.390381,6734986
10/11/2017,845.299988,858.400024,836,840.150024,827.386658,7049800
10/12/2017,842.099976,876.799988,842.099976,872.75,859.491394,8522926
10/13/2017,879.299988,890.700012,873.349976,876.450012,863.135193,9833512
10/16/2017,879,892,861.299988,876.799988,863.479919,14633539
10/17/2017,878,884,867.200012,874.349976,861.067078,6354084
10/18/2017,877.400024,917.900024,875,914.5,900.607117,16765178
10/19/2017,915.799988,921.900024,903,909.900024,896.077087,3664082
10/23/2017,912.900024,944.700012,909.099976,939.75,925.473633,12551649
10/24/2017,947.700012,947.700012,928.200012,934.25,920.05719,6335308
10/25/2017,940.099976,945.900024,929.5,939.900024,925.621338,4577050
10/26/2017,940,957.799988,931,947.400024,933.007446,7698704
10/27/2017,950,956.700012,925.700012,929.849976,915.723877,5256749
10/30/2017,934,945.549988,930.599976,942.5,928.181763,3576533
10/31/2017,944.950012,945.75,932.200012,940.849976,926.556824,4345360
11/1/2017,947.75,957.799988,945.75,952.549988,938.079102,8033040
11/2/2017,952.799988,956.5,944.25,946.599976,932.219482,4698609
11/3/2017,955.950012,955.950012,940.150024,945.299988,930.93927,2193730
11/6/2017,942.5,942.5,929,932.5,918.33374,4460799
11/7/2017,933.349976,935,903.049988,906.700012,892.925659,9347943
11/8/2017,902.5,906,884.099976,887.799988,874.312805,8115980
11/9/2017,894.75,909.900024,892.049988,900.5,886.819824,6860798
11/10/2017,900.950012,900.950012,879.200012,883.849976,870.422791,6365174
11/13/2017,885,891.900024,873.5,875.25,861.953491,4155011
11/14/2017,875,895,873,886.700012,873.229492,5706105
11/15/2017,884.5,890.599976,877.950012,883.700012,870.275085,6981872
11/16/2017,885.5,906,885.5,903.849976,890.118958,6931038
11/17/2017,918.950012,924.900024,908.5,911.900024,898.046692,5586242
11/20/2017,906.200012,924.349976,905,920.849976,906.860657,4220192
11/21/2017,926.799988,939.650024,925.5,932.549988,918.382935,5980763
11/22/2017,937.450012,938.650024,923.450012,930.75,916.610291,5055490
11/23/2017,931,949.900024,926.650024,947,932.613403,7329126
11/24/2017,950,959.5,947.400024,951.099976,936.651123,6394443
11/27/2017,947.25,957.5,944,951.349976,936.897339,4680074
11/28/2017,949.849976,951.349976,938.099976,943.349976,929.01886,4641893
11/29/2017,941.849976,950,941,946,931.628662,3674864
11/30/2017,941.450012,941.450012,919.5,921.549988,907.550049,9434893
12/1/2017,924.450012,931.25,907.700012,910.099976,896.273987,5081389
12/4/2017,913.5,913.799988,897.349976,901.599976,887.903137,4618847
12/5/2017,901.049988,920.75,895.450012,913.700012,899.819336,8369174
12/6/2017,910,930.299988,908.799988,926.650024,912.572571,11007689
12/7/2017,930.049988,936,923,931.549988,917.398132,5529565
12/8/2017,933.849976,936.950012,919.049988,921,907.008484,5588486
12/11/2017,922.450012,926,913.549988,916.150024,902.232117,4933853
12/12/2017,915.950012,929,908,915.599976,901.69043,7215014
12/13/2017,916.900024,924.950012,910.700012,914.650024,900.754883,4182097
12/14/2017,919,924.900024,908.75,921.5,907.500793,5021130
12/15/2017,931,932.950012,917.700012,919.75,905.777405,11158706
12/18/2017,911.950012,932.650024,862.650024,921,907.008484,8494801
12/19/2017,923.599976,927,920,925.950012,911.88324,4064982
12/20/2017,925.900024,927.400024,917,918.150024,904.20166,4774414
12/21/2017,918.450012,923.950012,910,912.950012,899.080688,4147162
12/22/2017,914.650024,922.400024,909.299988,920.400024,906.417603,4872675
12/26/2017,924.849976,938.900024,918.150024,929.799988,915.674683,5301456
12/27/2017,933,937.5,919,923.75,909.716675,4352384
12/28/2017,925.25,934.400024,919.099976,924.200012,910.159851,7091515
12/29/2017,926.5,932.299988,918.5,921.049988,907.057678,5069838
1/1/2018,922.700012,922.700012,907.5,909.75,895.92926,4321686
1/2/2018,913,919.549988,906.400024,911.150024,897.308044,4342815
1/3/2018,925,926,913.049988,914.799988,900.902649,6175312
1/4/2018,918.150024,921.799988,915.700012,920.299988,906.319092,4118581
1/5/2018,921.799988,926.900024,920.25,923.25,909.224243,3401905
1/8/2018,926.099976,931,923.5,928.549988,914.443665,4035417
1/9/2018,928.150024,943.900024,924,940.950012,926.655334,6534997
1/10/2018,943,947.400024,935.5,942.349976,928.033997,5361502
1/11/2018,941.799988,942.650024,935,937.75,923.503967,3588377
1/12/2018,943,952.799988,938.25,949,934.583069,6890028
1/15/2018,950,958.5,945.200012,949.150024,934.730774,5084113
1/16/2018,947.700012,947.700012,920,922.950012,908.928772,4948895
1/17/2018,926,929,907,924.5,910.455261,6036432
1/18/2018,929,929.599976,915.099976,919.700012,905.728149,4289053
1/19/2018,923,934.400024,922.099976,931.299988,917.151855,4559564
1/22/2018,948,974.299988,940,971.5,956.741272,20892838
1/23/2018,975,990.950012,975,983.25,968.312744,10298500
1/24/2018,981.75,981.75,962.650024,966.349976,951.669434,6532672
1/25/2018,967.900024,972,956.150024,965.900024,951.226318,6249419
1/29/2018,966.200012,977.299988,959.299988,964.5,949.847595,4524605
1/30/2018,965.799988,965.799988,949,950.400024,935.961853,4198139
1/31/2018,950,964.5,941.549988,961.299988,946.696228,5738209
2/1/2018,963.25,972.599976,936.599976,943.849976,929.51123,7554587
2/2/2018,935,943.950012,901,904.349976,890.611328,13242095
2/5/2018,894,912.5,881.799988,902.150024,888.444763,8773525
2/6/2018,877,898,871,892.099976,878.547424,11000567
2/7/2018,902.549988,905.400024,890,894.400024,880.8125,7100838
2/8/2018,897.900024,910.650024,892.349976,904.549988,890.808289,6320734
2/9/2018,889,902,886,897.849976,884.210083,5294279
2/12/2018,903,918.200012,902.049988,915.5,901.59198,5429792
2/14/2018,923,942.5,921,933.650024,919.466248,10170959
2/15/2018,937.650024,945.75,928.150024,935.650024,921.435913,6109454
2/16/2018,939.599976,942.599976,918.099976,921.299988,907.303833,4401672
2/19/2018,921,932,913.549988,927,912.917236,4087936
2/20/2018,929,929.549988,918.799988,921.099976,907.106934,3866919
2/21/2018,930,932.5,922.150024,929.349976,915.231567,5448230
2/22/2018,922,931,920,924.349976,910.307434,5118850
2/23/2018,925.400024,938,922.75,934.25,920.05719,4850839
2/26/2018,939,944.900024,936.599976,938.700012,924.439514,3856478
2/27/2018,939,955.799988,938.349976,950.5,936.060303,6410097
2/28/2018,945.950012,957.099976,943.200012,954.549988,940.048767,25898694
3/1/2018,949.75,959.900024,945.950012,948.400024,933.992188,4094652
3/5/2018,943,950.150024,921.599976,924.099976,910.06134,5634893
3/6/2018,929,936.200012,905.099976,910.849976,897.012573,7323680
3/7/2018,909.25,909.25,888.049988,889.75,876.233154,7247708
3/8/2018,897.650024,914.5,893.299988,911.450012,897.603516,6072983
3/9/2018,914.900024,919.349976,911.049988,913.099976,899.228394,4863577
3/12/2018,920,933.099976,917.549988,930.299988,916.167114,3801407
3/13/2018,931.900024,936,921.349976,931.849976,917.693542,5096825
3/14/2018,928.799988,932.049988,919.200012,929.049988,914.936096,6731530
3/15/2018,925,929.450012,910,911.799988,897.948181,5811424
3/16/2018,909,909.700012,886.049988,900.049988,886.376648,14087564
3/19/2018,901,906.900024,892,895.5,881.895813,5774392
3/20/2018,893.299988,904,887.049988,889.799988,876.28241,6945721
3/21/2018,894.849976,902.349976,893.299988,896.900024,883.274597,6727261
3/22/2018,896,911.950012,895.75,908.150024,894.353638,10116965
3/23/2018,890.599976,900,889.099976,893.900024,880.32019,10729694
3/26/2018,893.950012,904.299988,892.5,901.099976,887.410706,6047262
3/27/2018,907.200012,910.75,897,899.799988,886.130432,6939577
3/28/2018,895.799988,895.849976,880,882.700012,869.290222,8759586
4/2/2018,893,900.950012,886.5,892.950012,879.384521,5712065
4/3/2018,891,901.700012,885.25,899.549988,885.884277,6364728
4/4/2018,904.700012,911.799988,892.049988,894.900024,881.304932,6498407
4/5/2018,905.099976,910,903.5,908.200012,894.402832,3898676
4/6/2018,908,918.5,905,911,897.160339,4418462
4/9/2018,912.549988,919,912.549988,916,902.084351,3572251
4/10/2018,918.400024,923.900024,914.150024,917.049988,903.118408,3865402
4/11/2018,921.799988,932.75,916.049988,930.849976,916.70874,6007539
4/12/2018,929.849976,936.650024,924.200012,928.700012,914.591492,4947725
4/13/2018,932.700012,941.700012,928.700012,938.849976,924.587219,5767984
4/16/2018,934.450012,940,928.5,937.049988,922.814575,4084450
4/17/2018,940,947.200012,936,944.25,929.905212,4388713
4/18/2018,945.25,948.200012,935.049988,938,923.750183,3365196
4/19/2018,939.099976,945,935,942.299988,927.984802,4481413
4/20/2018,938,941.849976,921.200012,927.900024,913.803589,3349519
4/23/2018,930,944.349976,928.5,936,921.780518,3508515
4/24/2018,935.799988,975.700012,935,970.049988,955.313293,9107264
4/25/2018,973.650024,981.799988,963.549988,970.5,955.75647,6436620
4/26/2018,973,988,962.25,975.349976,960.532776,15588001
4/27/2018,989.799988,1011,985.5,996.299988,981.16449,11666267
4/30/2018,982,992.599976,960,963.299988,948.665771,8871802
5/2/2018,967,979.200012,965.049988,972.700012,957.923035,6117761
5/3/2018,977.900024,977.900024,959.25,961.599976,946.991577,3947546
5/4/2018,962.849976,964.700012,950,953.950012,939.457825,3795692
5/7/2018,958.849976,973.25,956.349976,971,956.248779,3512532
5/8/2018,977.5,982,965.200012,967.099976,952.40802,4934036
5/9/2018,965.900024,984.299988,962.25,976.700012,961.862244,4494423
5/10/2018,980,984.599976,974.25,981.150024,966.244629,4014645
5/11/2018,981.25,991.299988,977.75,989.25,974.221619,4011516
5/14/2018,991.950012,991.950012,976.700012,986.599976,971.611816,2579561
5/15/2018,983.049988,1000,976.650024,978.950012,964.078064,4800923
5/16/2018,974,974,952.450012,956.150024,941.62439,8613363
5/17/2018,959.349976,960,941.5,945.349976,930.988464,4733477
5/18/2018,945.599976,953.5,932,933.849976,919.663147,5230037
5/21/2018,930.75,935.700012,922.099976,931.349976,917.201111,6624893
5/22/2018,933.150024,934,925,926.75,912.671082,5170585
5/23/2018,926,926,909.150024,912.25,898.391357,4567562
5/24/2018,914,921,910.150024,915.849976,901.936584,5317983
5/25/2018,916,923.400024,914.450012,920.799988,906.811401,8129520
5/28/2018,924.900024,927,918.099976,920.400024,906.417603,5197835
5/29/2018,921.5,928,914.400024,917.450012,903.512329,8173396
5/30/2018,914.849976,923.200012,906.599976,916.099976,902.182861,5991222
5/31/2018,921,922.299988,914.549988,921.349976,907.353027,16951801
6/1/2018,920,935.75,918.450012,930.549988,916.413269,8765835
6/4/2018,933.400024,944,930.549988,940.849976,926.556824,5600357
6/5/2018,942.799988,955,941,947.650024,933.25354,7971524
6/6/2018,947,956,942.650024,954.400024,939.901062,4189483
